KEY,en,notes,sp,fr,de,it,pt-br
WEATHER_TRAININGDAY_DESC,A punching bag with Kinetic Spikes 5 spawns in each battle.,,У кожнiй битвi заспавнюêться боксерська груша з Kinetic Spikes 5.,Un sac de frappe avec Pics cinétiques&nbsp;+5 apparaît à chaque combat.,In jedem Kampf erscheint ein Sandsack mit Kinetiknadeln&nbsp;5.,In ogni battaglia compare un sacco da boxe con 5 Spuntoni Cinetici.,Um saco de pancada com espinhos cinéticos 5 surge em cada batalha.
WEATHER_TORNADOES_NAME,Tornadoes,,Торнадо,Tornades,Wirbelsturm,Tornadi,Tornados
WEATHER_TORNADOES_DESC,Twisters spawn each round.,,Торнадо заспавнюються кожного раунду.,Des tornades apparaissent à chaque manche.,In jeder Runde erscheinen Wirbelstürme.,In ogni round compaiono Trombe d'Aria.,Tornados surgem a cada rodada.
WEATHER_CRAZY_NAME,Crazy Weather,,Божевiльна погода,Météo imprévisible,Verrücktes Wetter,Clima Pazzarello,Tempo maluco
WEATHER_CRAZY_DESC,The weather around here is crazy! It's different every battle!,,Погода тут божевiльна! Вона рiзна в кожнiй битвi!,Il fait un drôle de temps ici ! La météo change à chaque combat !,Das Wetter ist total durchgedreht! Es ändert sich in jedem Kampf!,Il clima da queste parti è pazzarello! È diverso a ogni battaglia!,O tempo aqui é maluco! Ele é diferente em cada batalha!
WEATHER_BOUNTY_NAME,Bounty Hunting,,Полювання за винагородою,Chasse aux primes,Kopfgeldjagd,Cacciatore di Taglie,Caça à recompensa
WEATHER_BOUNTY_DESC,A random unit in each battle has a bounty. A Bounty Hunter is here to collect.,,"У кожнiй битвi випадковий юнiт маê винагороду. Мисливець за винагородою тут, щоб ïï забрати.",Une prime est assignée à une unité aléatoire à chaque combat. Un chasseur de primes est là pour la récupérer.,"In jedem Kampf ist auf eine zufällige Einheit ein Kopfgeld ausgesetzt. Ein Kopfgeldjäger erscheint, um es einzufordern.",In ogni battaglia un'unità casuale ha una taglia sulla testa. Un cacciatore di taglie è qui per riscuoterla.,Uma unidade aleatória em cada batalha possui uma recompensa. Um caçador de recompensas surgirá para coletá-la.
WEATHER_MINESWEEPER_NAME,Minesweeper,,Сапер,Démineur,Minenkraft,Campo Minato,Campo minado
WEATHER_MINESWEEPER_DESC,There are extra land mines in every battle.,,У кожнiй битвi ê додатковi мiни.,Des mines supplémentaires apparaissent à chaque combat.,In jedem Kampf erscheinen zusätzliche Minen.,In tutte le battaglie ci sono più mine.,Há minas terrestres adicionais em cada batalha.
WEATHER_ALIENS_NAME,Alien Invasion,,Вторгнення прибульцiв,Invasion extraterrestre,Alieninvasion,Invasione Aliena,Invasão alienígena
WEATHER_ALIENS_DESC,2-4 aliens spawn in each battle. Aliens are invading!,,У кожнiй битвi заспавняться 2-4 прибульцi. Прибульцi вторгаються!,2 à 4&nbsp;extraterrestres apparaissent à chaque combat. C'est une invasion !,In jedem Kampf erscheinen 2&nbsp;– 4 Aliens. Sie sind unter uns!,In ogni battaglia compaiono 2-4 alieni. Gli alieni stanno invadendo!,2-4 alienígenas surgem em cada batalha. Os alienígenas estão invadindo!
WEATHER_BIRDEMIC_NAME,Birdemic,,Пташиний апокалiпсис,Invasion aviaire,Vogelgrippe,Apocalisse Alata,Gripe aviária
WEATHER_BIRDEMIC_DESC,"2-4 birds spawn in each battle. All birds are stronger, and angry!",,У кожнiй битвi заспавняться 2-4 птахи. Усi птахи сильнiшi й злi!,"2 à 4&nbsp;oiseaux apparaissent à chaque combat. Tous les oiseaux sont plus forts, et ils sont furieux !",In jedem Kampf erscheinen 2&nbsp;– 4 Vögel. Alle Vögel sind stärker und sauer!,In ogni battaglia compaiono 2-4 uccelli. Tutti gli uccelli sono più forti e arrabbiati!,2-4 pássaros surgem em cada batalha. Todos os pássaros são mais fortes e mais irritados!
WEATHER_SOLARFLARE_NAME,Solar Flare,,Сонячна спалаха,Éruption solaire,Sonneneruption,Eruzione Solare,Tempestade solar
WEATHER_SOLARFLARE_DESC,"A solar flare strikes a large area at the end of each round, Burning and inflicting Blind.",,"Сонячна спалаха вражаê велику дiлянку наприкiнцi кожного раунду, пiдпалюючи й накладаючи Слiпоту.",Une éruption solaire brûle une large zone à la fin de chaque manche et inflige Cécité.,Eine Sonneneruption schlägt am Ende jeder Runde in einem bestimmten Bereich ein. Sie verursacht Verbrennung und Blindheit.,"Un'eruzione solare colpisce un'ampia area alla fine di ogni round, infliggendo Bruciatura e Accecamento.","Uma tempestade solar atinge uma grande área no final de cada rodada, causando queimadura e aplicando cegueira."
WEATHER_GEOMAGSTORM_NAME,Geomagnetic Storm,,Геомагнiтна буря,Tempête géomagnétique,Geomagnetischer Sturm,Tempesta Geomagnetica,Tempestade geomagnética
WEATHER_GEOMAGSTORM_DESC,All rocks levitate at the end of the round. Extra rocks spawn in each battle.,,Усi каменi левiтують наприкiнцi раунду. У кожнiй битвi заспавняться додатковi каменi.,Toutes les pierres lévitent à la fin de la manche. Des pierres supplémentaires apparaissent à chaque combat.,Alle Steine fangen am Ende der Runde an zu schweben. In jedem Kampf erscheinen zusätzliche Steine.,Tutte le rocce levitano alla fine del round. In ogni battaglia compaiono più rocce.,Todas as pedras levitam no final de cada rodada. Pedras adicionais surgem em cada batalha.
WEATHER_SHIMMER_NAME,The Shimmer,,Мерехтiння,Le Chatoiement,Der Schimmer,Il Luccicchio,Brilho
WEATHER_SHIMMER_DESC,All units gain a random status effect at the start of each round. Cats gain a random mutation at the end of each battle.,,Усi юнiти на початку кожного раунду отримують випадковий статусний ефект. Коти отримують випадкову мутацiю наприкiнцi кожноï битви.,Toutes les unités obtiennent une altération d'état au début de chaque manche. Les chats obtiennent une mutation aléatoire à la fin de chaque combat.,Alle Einheiten erhalten am Anfang jeder Runde einen zusätzlichen Statuseffekt. Katzen erhalten am Ende jedes Kampfes eine zufällige Mutation.,Tutte le unità ottengono un effetto di stato casuale all'inizio di ogni round. I gatti ottengono una mutazione casuale alla fine di ogni battaglia.,Todas as unidades obtêm um efeito de estado aleatório no início de cada rodada. Gatos obtêm uma mutação aleatória no final de cada batalha.
WEATHER_STRANGEEGGS_NAME,Strange Eggs,,Дивнi яйця,Étranges œufs,Merkwürdige Eier,Uova Strane,Ovos estranhos
WEATHER_STRANGEEGGS_DESC,3-6 strange eggs spawn in each battle. Kill them before they hatch!,,"У кожнiй битвi заспавняться 3-6 дивних яêць. Вбийте ïх, поки вони не вилупилися!",3 à 6&nbsp;œufs étranges apparaissent à chaque combat. Détruisez-les avant qu'ils n'éclosent !,"In jedem Kampf erscheinen 3&nbsp;– 6 merkwürdige Eier. Töte sie, bevor sie schlüpfen!",In ogni battaglia compaiono 3-6 uova strane. Distruggile prima che si schiudano!,3-6 ovos estranhos surgem em cada batalha. Destrua-os antes que eles eclodam!
WEATHER_ALIENOVERGROWTH_NAME,Alien Overgrowth,,Прибульча заросль,Prolifération alien,Außerirdische Überwucherung,Proliferazione Aliena,Vegetação alienígena
WEATHER_ALIENOVERGROWTH_DESC,"A few bramble patches spawn in each battle, but something is strange about them...",,"У кожнiй битвi заспавняться кiлька заростей терну, але з ними щось не так...","Quelques ronces apparaissent à chaque combat, mais elles ont quelque chose d'étrange...",In jedem Kampf erscheint Dornengestrüpp. Aber irgendetwas ist komisch an ihm&nbsp;…,"In ogni battaglia compaiono alcuni cespugli di rovi, ma c'è qualcosa di strano in loro...","Alguns espinheiros surgem em cada batalha, mas há algo de estranho neles..."
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
