KEY,en,notes,sp,fr,de,it,pt-br
FURNITURE_NAME_SET_BLOCK_SIDET,"Sideways ""T"" Block",,"Боковий ""T"" блок",Bloc «&nbsp;T&nbsp;» de côté,Seitlicher „T“-Block,"Blocco ""T"" laterale","Bloco ""T"" de lado"
FURNITURE_DESC_SET_BLOCK_SIDET,,,,,,,
FURNITURE_NAME_SET_BLOCK_DOWNL,"Laying ""L"" Block",,"Лежачий ""L"" блок",Bloc «&nbsp;L&nbsp;» couché,Liegender „L“-Block,"Blocco ""L"" orizzontale","Bloco ""L"" deitado"
FURNITURE_DESC_SET_BLOCK_DOWNL,,,,,,,
FURNITURE_NAME_SET_BLOCK_SIDEI,"Laying ""I"" Block",,"Лежачий ""I"" блок",Bloc «&nbsp;I&nbsp;» couché,Liegender „I“-Block,"Blocco ""I"" orizzontale","Bloco ""I"" deitado"
FURNITURE_DESC_SET_BLOCK_SIDEI,,,,,,,
FURNITURE_NAME_SET_MONSTER_SHELF,Monster Shelf,,Полиця монстра,Étagère monstre,Monsterregal,Scaffale a forma di mostro,Estante monstruosa
FURNITURE_DESC_SET_MONSTER_SHELF,,,,,,,
FURNITURE_NAME_SET_MONSTER_DRESSER,Monster Dresser,,Комод монстра,Commode monstre,Monsterkleiderschrank,Comò a forma di mostro,Cômoda monstruosa
FURNITURE_DESC_SET_MONSTER_DRESSER,,,,,,,
FURNITURE_NAME_SET_MONSTER_TABLE,Monster Table A,,Стiл монстра A,Table monstre A,Monstertisch A,Tavolo a forma di mostro A,Mesa monstruosa A
FURNITURE_DESC_SET_MONSTER_TABLE,,,,,,,
FURNITURE_NAME_SET_MONSTER_SUSPENDEDSHELF,Suspended Monster Shelf A,,Пiдвiсна полиця монстра A,Étagère suspendue monstre A,Monsterhängeregal A,Mensola sospesa a forma di mostro A,Prateleira monstruosa A
FURNITURE_DESC_SET_MONSTER_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_MONSTER_SIDETABLE,Monster Side Table,,Боковий столик монстра,Table d'appoint monstre,Monsterbeistelltisch,Tavolino a forma di mostro,Mesa lateral monstruosa
FURNITURE_DESC_SET_MONSTER_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_MONSTER_SUSPENDEDSHELF2,Suspended Monster Shelf B,,Пiдвiсна полиця монстра B,Étagère suspendue monstre B,Monsterhängeregal B,Mensola sospesa a forma di mostro B,Prateleira monstruosa B
FURNITURE_DESC_SET_MONSTER_SUSPENDEDSHELF2,,,,,,,
FURNITURE_NAME_SET_MONSTER_CHAIR,Monster Chair,,Крiсло монстра,Chaise monstre,Monsterstuhl,Sedia a forma di mostro,Estante monstruosa
FURNITURE_DESC_SET_MONSTER_CHAIR,,,,,,,
FURNITURE_NAME_SET_MONSTER_TABLE2,Monster Table B,,Стiл монстра B,Table monstre B,Monstertisch B,Tavolo a forma di mostro B,Mesa monstruosa B
FURNITURE_DESC_SET_MONSTER_TABLE2,,,,,,,
FURNITURE_NAME_SET_MONSTER_TV,Monster TV,,Телевiзор монстра,TV monstre,Monsterfernseher,TV a forma di mostro,TV monstruosa
FURNITURE_DESC_SET_MONSTER_TV,,,,,,,
FURNITURE_NAME_SET_MONSTER_LAMP,Monster Lamp,,Лампа монстра,Lampe monstre,Monsterlampe,Lampada a forma di mostro,Luminária monstruosa
FURNITURE_DESC_SET_MONSTER_LAMP,,,,,,,
FURNITURE_NAME_SET_ANGELIC_BED,Angelic Bed,,Ангельське лiжко,Lit angélique,Engelbett,Letto angelico,Cama angelical
FURNITURE_DESC_SET_ANGELIC_BED,,,,,,,
FURNITURE_NAME_SET_ANGELIC_SHELF,Angelic Shelf,,Ангельська полиця,Étagère angélique,Engelregal,Scaffale angelico,Estante angelical
FURNITURE_DESC_SET_ANGELIC_SHELF,,,,,,,
FURNITURE_NAME_SET_ANGELIC_CHAIR,Angelic Chair,,Ангельське крiсло,Chaise angélique,Engelstuhl,Sedia angelica,Cadeira angelical
FURNITURE_DESC_SET_ANGELIC_CHAIR,,,,,,,
FURNITURE_NAME_SET_ANGELIC_DRESSER,Angelic Dresser,,Ангельський комод,Commode angélique,Engelkleiderschrank,Comò angelico,Cômoda angelical
FURNITURE_DESC_SET_ANGELIC_DRESSER,,,,,,,
FURNITURE_NAME_SET_ANGELIC_SIDETABLE,Angelic Side Table,,Ангельський боковий столик,Table d'appoint angélique,Engelbeistelltisch,Tavolino angelico,Mesa lateral angelical
FURNITURE_DESC_SET_ANGELIC_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_ANGELIC_TOILET,Angelic Toilet,,Ангельський туалет,Toilettes angéliques,Engeltoilette,WC angelico,Privada angelical
FURNITURE_DESC_SET_ANGELIC_TOILET,,,,,,,
FURNITURE_NAME_SET_ANGELIC_TABLE,Angelic Table A,,Ангельський стiл A,Table angélique A,Engeltisch A,Tavolo angelico A,Mesa angelical A
FURNITURE_DESC_SET_ANGELIC_TABLE,,,,,,,
FURNITURE_NAME_SET_ANGELIC_TABLE2,Angelic Table B,,Ангельський стiл B,Table angélique B,Engeltisch B,Tavolo angelico B,Mesa angelical B
FURNITURE_DESC_SET_ANGELIC_TABLE2,,,,,,,
FURNITURE_NAME_SET_ANGELIC_SUSPENDEDSHELF,Suspended Angelic Shelf,,Пiдвiшена ангельська полиця,Étagère suspendue angélique,Engelhängeregal,Mensola sospesa angelica,Prateleira angelical
FURNITURE_DESC_SET_ANGELIC_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_ANGELIC_LAMP,Angelic Lamp,,Ангельська лампа,Lampe angélique,Engellampe,Lampada angelica,Luminária angelical
FURNITURE_DESC_SET_ANGELIC_LAMP,,,,,,,
FURNITURE_NAME_SET_ATOMIC_STOVE,Atomic Stove,,Атомна плита,Cuisinière atomique,Radioaktiver Ofen,Stufa atomica,Fogão atômico
FURNITURE_DESC_SET_ATOMIC_STOVE,,,,,,,
FURNITURE_NAME_SET_ATOMIC_FRIGE,Atomic Fridge,,Атомний холодильник,Frigo atomique,Radioaktiver Kühlschrank,Frigo atomico,Geladeira atômica
FURNITURE_DESC_SET_ATOMIC_FRIGE,,,,,,,
FURNITURE_NAME_SET_ATOMIC_COUCH,Atomic Couch,,Атомний диван,Canapé atomique,Radioaktives Sofa,Divano atomico,Sofá atômico
FURNITURE_DESC_SET_ATOMIC_COUCH,,,,,,,
FURNITURE_NAME_SET_ATOMIC_TV,Atomic TV,,Атомний телевiзор,TV atomique,Radioaktiver Fernseher,TV atomica,TV atômica
FURNITURE_DESC_SET_ATOMIC_TV,,,,,,,
FURNITURE_NAME_SET_ATOMIC_TABLE,Atomic Table,,Атомний стiл,Table atomique,Radioaktiver Tisch,Tavolo atomico,Mesa atômica
FURNITURE_DESC_SET_ATOMIC_TABLE,,,,,,,
FURNITURE_NAME_SET_ATOMIC_SIDETABLE,Atomic Side Table,,Атомний боковий столик,Table d'appoint atomique,Radioaktiver Beistelltisch,Tavolino atomico,Mesa lateral atômica
FURNITURE_DESC_SET_ATOMIC_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_ATOMIC_RADIO,Atomic Radio,,Атомне радiо,Radio atomique,Radioaktives Radio,Radio atomica,Rádio atômico
FURNITURE_DESC_SET_ATOMIC_RADIO,,,,,,,
FURNITURE_NAME_SET_ATOMIC_LAMP,Atomic Lamp,,Атомна лампа,Lampe atomique,Radioaktive Lampe,Lampada atomica,Luminária atômica
FURNITURE_DESC_SET_ATOMIC_LAMP,,,,,,,
FURNITURE_NAME_SET_ATOMIC_SHELF,Atomic Shelf,,Атомна полиця,Étagère atomique,Radioaktives Regal,Scaffale atomico,Estante atômica
FURNITURE_DESC_SET_ATOMIC_SHELF,,,,,,,
FURNITURE_NAME_SET_ATOMIC_CHAIR,Atomic Chair,,Атомний стiлець,Chaise atomique,Radioaktiver Stuhl,Sedia atomica,Cadeira atômica
FURNITURE_DESC_SET_ATOMIC_CHAIR,,,,,,,
FURNITURE_NAME_SET_ELEGANT_TABLE,Elegant Table,,Елегантний стiл,Table élégante,Stilvoller Tisch,Tavolo elegante,Mesa elegante
FURNITURE_DESC_SET_ELEGANT_TABLE,,,,,,,
FURNITURE_NAME_SET_ELEGANT_BED,Elegant Bed,,Елегантне лiжко,Lit élégant,Stilvolles Bett,Letto elegante,Cama elegante
FURNITURE_DESC_SET_ELEGANT_BED,,,,,,,
FURNITURE_NAME_SET_ELEGANT_DESK,Elegant Desk,,Елегантний письмовий стiл,Bureau élégant,Stilvoller Schreibtisch,Scrivania elegante,Escrivaninha elegante
FURNITURE_DESC_SET_ELEGANT_DESK,,,,,,,
FURNITURE_NAME_SET_ELEGANT_DRESSER,Elegant Dresser A,,Елегантний комод A,Commode élégante A,Stilvoller Kleiderschrank A,Comò elegante A,Cômoda elegante A
FURNITURE_DESC_SET_ELEGANT_DRESSER,,,,,,,
FURNITURE_NAME_SET_ELEGANT_DRESSER2,Elegant Dresser B,,Елегантний комод B,Commode élégante B,Stilvoller Kleiderschrank B,Comò elegante B,Cômoda elegante B
FURNITURE_DESC_SET_ELEGANT_DRESSER2,,,,,,,
FURNITURE_NAME_SET_ELEGANT_SIDETABLE,Elegant Side Table A,,Елегантний приставний столик A,Table d'appoint élégante A,Stilvoller Beistelltisch A,Tavolino elegante A,Mesa lateral elegante A
FURNITURE_DESC_SET_ELEGANT_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_ELEGANT_SIDETABLE2,Elegant Side Table B,,Елегантний приставний столик B,Table d'appoint élégante B,Stilvoller Beistelltisch B,Tavolino elegante B,Mesa lateral elegante B
FURNITURE_DESC_SET_ELEGANT_SIDETABLE2,,,,,,,
FURNITURE_NAME_SET_ELEGANT_CHAIR,Elegant Chair,,Елегантний стiлець,Chaise élégante,Stilvoller Stuhl,Sedia elegante,Cadeira elegante
FURNITURE_DESC_SET_ELEGANT_CHAIR,,,,,,,
FURNITURE_NAME_SET_ELEGANT_SHELF,Elegant Shelf,,Елегантна полиця,Étagère élégante,Stilvolles Regal,Mensola elegante,Estante elegante
FURNITURE_DESC_SET_ELEGANT_SHELF,,,,,,,
FURNITURE_NAME_SET_ELEGANT_LAMP,Elegant Lamp,,Елегантна лампа,Lampe élégante,Stilvolle Lampe,Lampada elegante,Luminária elegante
FURNITURE_DESC_SET_ELEGANT_LAMP,,,,,,,
FURNITURE_NAME_SET_MODERN_BED,Modern Bed,,Сучасне лiжко,Lit moderne,Modernes Bett,Letto moderno,Cama moderna
FURNITURE_DESC_SET_MODERN_BED,,,,,,,
FURNITURE_NAME_SET_MODERN_FRIGE,Modern Fridge,,Сучасний холодильник,Frigo moderne,Moderner Kühlschrank,Frigo moderno,Geladeira moderna
FURNITURE_DESC_SET_MODERN_FRIGE,,,,,,,
FURNITURE_NAME_SET_MODERN_STOVE,Modern Stove,,Сучасна плита,Cuisinière moderne,Moderner Ofen,Stufa moderna,Fogão moderno
FURNITURE_DESC_SET_MODERN_STOVE,,,,,,,
FURNITURE_NAME_SET_MODERN_COUCH,Modern Couch,,Сучасний диван,Canapé moderne,Modernes Sofa,Divano moderno,Sofá moderno
FURNITURE_DESC_SET_MODERN_COUCH,,,,,,,
FURNITURE_NAME_SET_MODERN_CHAIR,Modern Chair,,Сучасний стiлець,Chaise moderne,Moderner Stuhl,Sedia moderna,Cadeira moderna
FURNITURE_DESC_SET_MODERN_CHAIR,,,,,,,
FURNITURE_NAME_SET_MODERN_DRESSER,Modern Dresser,,Сучасний комод,Commode moderne,Moderner Kleiderschrank,Comò moderno,Cômoda moderna
FURNITURE_DESC_SET_MODERN_DRESSER,,,,,,,
FURNITURE_NAME_SET_MODERN_SIDETABLE,Modern Side Table,,Сучасний приставний столик,Table d'appoint moderne,Moderner Beistelltisch,Tavolino moderno,Mesa lateral moderna
FURNITURE_DESC_SET_MODERN_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_MODERN_TABLE,Modern Table,,Сучасний стiл,Table moderne,Moderner Tisch,Tavolo moderno,Mesa moderna
FURNITURE_DESC_SET_MODERN_TABLE,,,,,,,
FURNITURE_NAME_SET_MODERN_DESK,Modern Desk,,Сучасний письмовий стiл,Bureau moderne,Moderner Schreibtisch,Scrivania moderna,Escrivaninha moderna
FURNITURE_DESC_SET_MODERN_DESK,,,,,,,
FURNITURE_NAME_SET_MODERN_TV,Modern TV,,Сучасний телевiзор,TV moderne,Moderner Fernseher,TV moderna,TV moderna
FURNITURE_DESC_SET_MODERN_TV,,,,,,,
FURNITURE_NAME_SET_80S_COUCH,80s Couch,,Диван 80-х,Canapé années&nbsp;80,80er-Sofa,Divano anni '80,Sofá anos 80
FURNITURE_DESC_SET_80S_COUCH,,,,,,,
FURNITURE_NAME_SET_80S_BED,80s Bed,,Лiжко 80-х,Lit années&nbsp;80,80er-Bett,Letto anni '80,Cama anos 80
FURNITURE_DESC_SET_80S_BED,,,,,,,
FURNITURE_NAME_SET_80S_DRESSER,80s Dresser,,Комод 80-х,Commode années&nbsp;80,80er-Kleiderschrank,Comò anni '80,Cômoda anos 80
FURNITURE_DESC_SET_80S_DRESSER,,,,,,,
FURNITURE_NAME_SET_80S_CHAIR,80s Chair,,Стiлець 80-х,Chaise années&nbsp;80,80er-Stuhl,Sedia anni '80,Cadeira anos 80
FURNITURE_DESC_SET_80S_CHAIR,,,,,,,
FURNITURE_NAME_SET_80S_STOVE,80s Stove,,Плита 80-х,Cuisinière années&nbsp;80,80er-Ofen,Stufa anni '80,Fogão anos 80
FURNITURE_DESC_SET_80S_STOVE,,,,,,,
FURNITURE_NAME_SET_80S_FRIGE,80s Fridge,,Холодильник 80-х,Frigo années&nbsp;80,80er-Kühlschrank,Frigo anni '80,Geladeira anos 80
FURNITURE_DESC_SET_80S_FRIGE,,,,,,,
FURNITURE_NAME_SET_80S_SHELF,80s Shelf,,Полиця 80-х,Étagère années&nbsp;80,80er-Regal,Scaffale anni '80,Prateleira anos 80
FURNITURE_DESC_SET_80S_SHELF,,,,,,,
FURNITURE_NAME_SET_80S_TV,80s TV,,Телевiзор 80-х,TV années&nbsp;80,80er-Fernseher,TV anni '80,TV anos 80
FURNITURE_DESC_SET_80S_TV,,,,,,,
FURNITURE_NAME_SET_80S_TABLE,80s Table,,Стiл 80-х,Table années&nbsp;80,80er-Tisch,Tavolo anni '80,Mesa anos 80
FURNITURE_DESC_SET_80S_TABLE,,,,,,,
FURNITURE_NAME_SET_80S_SIDETABLE,80s Side Table,,Приставний столик 80-х,Table d'appoint années&nbsp;80,80er-Beistelltisch,Tavolino anni '80,Mesa lateral anos 80
FURNITURE_DESC_SET_80S_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_RETRO_BED,Art Deco Bed,,Лiжко в стилi арт-деко,Lit art déco,Art Deco Bett,Letto Art Déco,Cama art déco
FURNITURE_DESC_SET_RETRO_BED,,,,,,,
FURNITURE_NAME_SET_RETRO_STOVE,Art Deco Stove,,Плита в стилi арт-деко,Cuisinière art déco,Art Deco Ofen,Stufa Art Déco,Fogão art déco
FURNITURE_DESC_SET_RETRO_STOVE,,,,,,,
FURNITURE_NAME_SET_RETRO_FRIGE,Art Deco Fridge,,Холодильник в стилi арт-деко,Frigo art déco,Art Deco Kühlschrank,Frigo Art Déco,Geladeira art déco
FURNITURE_DESC_SET_RETRO_FRIGE,,,,,,,
FURNITURE_NAME_SET_RETRO_COUCH,Art Deco Couch,,Диван в стилi арт-деко,Canapé art déco,Art Deco Sofa,Divano Art Déco,Sofá art déco
FURNITURE_DESC_SET_RETRO_COUCH,,,,,,,
FURNITURE_NAME_SET_RETRO_CHAIR,Art Deco Chair,,Крiсло в стилi арт-деко,Chaise art déco,Art Deco Stuhl,Sedia Art Déco,Cadeira art déco
FURNITURE_DESC_SET_RETRO_CHAIR,,,,,,,
FURNITURE_NAME_SET_RETRO_DRESSER,Art Deco Dresser,,Комод в стилi арт-деко,Commode art déco,Art Deco Kleiderschrank,Comò Art Déco,Cômoda art déco
FURNITURE_DESC_SET_RETRO_DRESSER,,,,,,,
FURNITURE_NAME_SET_RETRO_DRESSER2,Art Deco Vanity,,Туалетний столик в стилi арт-деко,Coiffeuse art déco,Art Deco Frisiertisch,Toeletta Art Déco,Penteadeira art déco
FURNITURE_DESC_SET_RETRO_DRESSER2,,,,,,,
FURNITURE_NAME_SET_RETRO_DRESSER3,Art Deco Armoire,,Шафа в стилi арт-деко,Armoire art déco,Art Deco Vertiko,Armadio Art Déco,Guarda-roupa art déco
FURNITURE_DESC_SET_RETRO_DRESSER3,,,,,,,
FURNITURE_NAME_SET_RETRO_SIDETABLE,Art Deco Side Table,,Приставний столик в стилi арт-деко,Table d'appoint art déco,Art Deco Beistelltisch,Tavolino Art Déco,Mesa lateral art déco
FURNITURE_DESC_SET_RETRO_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_RETRO_LAMP,Art Deco Lamp,,Лампа в стилi арт-деко,Lampe art déco,Art Deco Lampe,Lampada Art Déco,Luminária art déco
FURNITURE_DESC_SET_RETRO_LAMP,,,,,,,
FURNITURE_NAME_SET_90S_BED,90s Bed,,Лiжко 90-х,Lit années&nbsp;90,90er-Bett,Letto anni '90,Cama anos 90
FURNITURE_DESC_SET_90S_BED,,,,,,,
FURNITURE_NAME_SET_90S_CABINET,Suspended 90s Cabinet,,Пiдвiсна шафа 90-х,Placard suspendu années&nbsp;90,90er-Hängeschrank,Armadietto sospeso anni '90,Armário suspenso anos 90
FURNITURE_DESC_SET_90S_CABINET,,,,,,,
FURNITURE_NAME_SET_90S_CABINET2,90s Cabinet,,Шафа 90-х,Placard années&nbsp;90,90er-Schrank,Armadietto anni '90,Armário anos 90
FURNITURE_DESC_SET_90S_CABINET2,,,,,,,
FURNITURE_NAME_SET_90S_SINK,90s Sink,,Раковина 90-х,Évier années&nbsp;90,90er-Waschbecken,Lavandino anni '90,Pia anos 90
FURNITURE_DESC_SET_90S_SINK,,,,,,,
FURNITURE_NAME_SET_90S_STOVE,90s Stove,,Плита 90-х,Cuisinière années&nbsp;90,90er-Ofen,Stufa anni '90,Fogão anos 90
FURNITURE_DESC_SET_90S_STOVE,,,,,,,
FURNITURE_NAME_SET_90S_FRIGE,90s Fridge,,Холодильник 90-х,Frigo années&nbsp;90,90er-Kühlschrank,Frigorifero anni '90,Geladeira anos 90
FURNITURE_DESC_SET_90S_FRIGE,,,,,,,
FURNITURE_NAME_SET_90S_SHELF,90s Shelf,,Полиця 90-х,Étagère années&nbsp;90,90er-Regal,Scaffale anni '90,Estante anos 90
FURNITURE_DESC_SET_90S_SHELF,,,,,,,
FURNITURE_NAME_SET_90S_SUSPENDEDSHELF,Suspended 90s Shelf,,Пiдвiсна полиця 90-х,Étagère suspendue années&nbsp;90,90er-Hängeregal,Mensola sospesa anni '90,Prateleira anos 90
FURNITURE_DESC_SET_90S_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_90S_CHAIR,90s Chair,,Стiлець 90-х,Chaise années&nbsp;90,90er-Stuhl,Sedia anni '90,Cadeira anos 90
FURNITURE_DESC_SET_90S_CHAIR,,,,,,,
FURNITURE_NAME_SET_90S_STOOL,90s Stool,,Табурет 90-х,Tabouret années&nbsp;90,90er-Hocker,Sgabello anni '90,Banqueta anos 90
FURNITURE_DESC_SET_90S_STOOL,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_TABLE1,Mushroom Table A,,Грибний стiл A,Table champignon A,Pilztisch A,Tavolo a forma di fungo A,Mesa cogumelo A
FURNITURE_DESC_SET_MUSHROOM_TABLE1,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_STOOL,Mushroom Stool A,,Грибний табурет A,Tabouret champignon A,Pilzhocker A,Sgabello a forma di fungo A,Banqueta cogumelo A
FURNITURE_DESC_SET_MUSHROOM_STOOL,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_STOOL2,Mushroom Stool B,,Грибний табурет B,Tabouret champignon B,Pilzhocker B,Sgabello a forma di fungo B,Banqueta cogumelo B
FURNITURE_DESC_SET_MUSHROOM_STOOL2,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_CHAIR,Mushroom Chair,,Грибний стiлець,Chaise champignon,Pilzstuhl,Sedia a forma di fungo,Cadeira cogumelo
FURNITURE_DESC_SET_MUSHROOM_CHAIR,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_TABLE,Mushroom Table B,,Грибний стiл B,Table champignon B,Pilztisch B,Tavolo a forma di fungo B,Mesa cogumelo B
FURNITURE_DESC_SET_MUSHROOM_TABLE,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_TOILET,Mushroom Toilet,,Грибний унiтаз,Toilettes champignon,Pilztoilette,WC a forma di fungo,Privada cogumelo
FURNITURE_DESC_SET_MUSHROOM_TOILET,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_SHELF,Mushroom Shelf,,Грибна полиця,Étagère champignon,Pilzregal,Mensola a forma di fungo,Estante cogumelo
FURNITURE_DESC_SET_MUSHROOM_SHELF,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_SUSPENDEDSHELF,Suspended Mushroom Shelf A,,Пiдвiсна грибна полиця A,Étagère suspendue champignon A,Pilzhängeregal A,Mensola sospesa a forma di fungo A,Prateleira cogumelo A
FURNITURE_DESC_SET_MUSHROOM_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_SUSPENDEDSHELF2,Suspended Mushroom Shelf B,,Пiдвiсна грибна полиця B,Étagère suspendue champignon B,Pilzhängeregal B,Mensola sospesa a forma di fungo B,Prateleira cogumelo B
FURNITURE_DESC_SET_MUSHROOM_SUSPENDEDSHELF2,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_STOOL3,Mushroom Stool C,,Грибний табурет C,Tabouret champignon C,Pilzhocker C,Sgabello a forma di fungo C,Banqueta cogumelo C
FURNITURE_DESC_SET_MUSHROOM_STOOL3,,,,,,,
FURNITURE_NAME_SET_RUSTIC_DRESSER,Rustic Dresser,,Рустикальний комод,Commode rustique,Rustikaler Kleiderschrank,Comò rustico,Cômoda rústica
FURNITURE_DESC_SET_RUSTIC_DRESSER,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SHELF,Suspended Rustic Shelf A,,Пiдвiсна рустикальна полиця A,Étagère suspendue&nbsp;rustique A,Rustikales Hängeregal A,Mensola rustica sospesa A,Prateleira rústica A
FURNITURE_DESC_SET_RUSTIC_SHELF,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SUSPENDEDSHELF,Suspended Rustic Shelf B,,Пiдвiсна рустикальна полиця B,Étagère suspendue rustique B,Rustikales Hängeregal B,Mensola rustica sospesa B,Prateleira rústica B
FURNITURE_DESC_SET_RUSTIC_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SIDETABLE,Rustic Side Table,,Рустикальний боковий столик,Table d'appoint rustique,Rustikaler Beistelltisch,Tavolino rustico,Mesa lateral rústica
FURNITURE_DESC_SET_RUSTIC_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SUSPENDEDSHELF2,Suspended Rustic Spice Rack,,Пiдвiсна рустикальна полиця для спецiй,Étagère à épices suspendue rustique,Rustikales Gewürzregal,Portaspezie rustico sospeso,Suporte de temperos rústico
FURNITURE_DESC_SET_RUSTIC_SUSPENDEDSHELF2,,,,,,,
FURNITURE_NAME_SET_RUSTIC_CHAIR,Rustic Chair,,Сiльський стiлець,Chaise rustique,Rustikaler Stuhl,Sedia rustica,Cadeira rústica
FURNITURE_DESC_SET_RUSTIC_CHAIR,,,,,,,
FURNITURE_NAME_SET_RUSTIC_DESK,Rustic Desk,,Сiльський письмовий стiл,Bureau rustique,Rustikaler Schreibtisch,Scrivania rustica,Escrivaninha rústica
FURNITURE_DESC_SET_RUSTIC_DESK,,,,,,,
FURNITURE_NAME_SET_RUSTIC_BENCH,Rustic Bench,,Сiльська лавка,Banc rustique,Rustikale Bank,Panca rustica,Banco rústico
FURNITURE_DESC_SET_RUSTIC_BENCH,,,,,,,
FURNITURE_NAME_SET_RUSTIC_TABLE,Rustic Table,,Сiльський стiл,Table rustique,Rustikaler Tisch,Tavolo rustico,Mesa rústica
FURNITURE_DESC_SET_RUSTIC_TABLE,,,,,,,
FURNITURE_NAME_SET_RUSTIC_STOOL,Rustic Stool,,Сiльський табурет,Tabouret rustique,Rustikaler Hocker,Sgabello rustico,Banqueta rústica
FURNITURE_DESC_SET_RUSTIC_STOOL,,,,,,,
FURNITURE_NAME_SET_CUTE_DRESSER,Cute Dresser,,Милий комод,Commode mimi,Süßer Kleiderschrank,Comò carino,Cômoda fofinha
FURNITURE_DESC_SET_CUTE_DRESSER,,,,,,,
FURNITURE_NAME_SET_CUTE_SIDETABLE,Cute Side Table A,,Милий приставний столик A,Table d'appoint mimi A,Süßer Beistelltisch A,Tavolino carino A,Mesa lateral fofinha A
FURNITURE_DESC_SET_CUTE_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_CUTE_SHELF,Cute Shelf,,Мила полиця,Étagère mimi,Süßes Regal,Scaffale carino,Estante fofinha
FURNITURE_DESC_SET_CUTE_SHELF,,,,,,,
FURNITURE_NAME_SET_CUTE_DRESSER2,Cute Armoire,,Мила шафа,Armoire mimi,Süßes Vertiko,Armadio carino,Guarda-roupa fofinho
FURNITURE_DESC_SET_CUTE_DRESSER2,,,,,,,
FURNITURE_NAME_SET_CUTE_COUCH,Cute Couch,,Милий диван,Canapé mimi,Süßes Sofa,Divano carino,Sofá fofinho
FURNITURE_DESC_SET_CUTE_COUCH,,,,,,,
FURNITURE_NAME_SET_CUTE_BED,Cute Bed,,Миле лiжко,Lit mimi,Süßes Bett,Letto carino,Cama fofinha
FURNITURE_DESC_SET_CUTE_BED,,,,,,,
FURNITURE_NAME_SET_CUTE_CHAIR,Cute Chair,,Милий стiлець,Chaise mimi,Süßer Stuhl,Sedia carina,Cadeira fofinha
FURNITURE_DESC_SET_CUTE_CHAIR,,,,,,,
FURNITURE_NAME_SET_CUTE_STOOL,Cute Stool,,Милий табурет,Tabouret mimi,Süßer Hocker,Sgabello carino,Banqueta fofinha
FURNITURE_DESC_SET_CUTE_STOOL,,,,,,,
FURNITURE_NAME_SET_CUTE_TABLE2,Cute Coffee Table,,Милий журнальний столик,Table d'appoint mimi,Süßer Kaffeetisch,Tavolino da caffè carino,Mesa de centro fofinha
FURNITURE_DESC_SET_CUTE_TABLE2,,,,,,,
FURNITURE_NAME_SET_CUTE_SIDETABLE2,Cute Side Table B,,Милий приставний столик B,Table d'appoint mimi B,Süßer Beistelltisch B,Tavolino carino B,Mesa lateral fofinha B
FURNITURE_DESC_SET_CUTE_SIDETABLE2,,,,,,,
FURNITURE_NAME_OBJECT_WOOD_TABLE,Wood Table,,Дерев'яний стiл,Table en bois,Holztisch,Tavolo di legno,Mesa de madeira
FURNITURE_DESC_OBJECT_WOOD_TABLE,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_LION,Guardian Lion Statue,,Статуя лева-охоронця,Statue de lion gardien,Löwenwächterstatue,Statua del Leone Guardiano,Estátua do leão guardião
FURNITURE_DESC_OBJECT_STATUE_LION,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_JESUS,Christ the Redeemer Statue,,Статуя Христа-Спасителя,Statue du Christ Rédempteur,Jesusstatue,Statua del Cristo Redentore,Estátua do Cristo Redentor
FURNITURE_DESC_OBJECT_STATUE_JESUS,,,,,,,
FURNITURE_NAME_OBJECT_STATUE_DEVIL,Baphomet Statue,,Статуя Бафомета,Statue de Baphomet,Statue von Baphomet,Statua di Bafometto,Estátua de Baphomet
FURNITURE_DESC_OBJECT_STATUE_DEVIL,,,,,,,
